track_id,track_name,artist_name,popularity,album,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
6Pgkp4qUoTmJIPn7ReaGxL,Without You (feat. Sandro Cavazza),"['Avicii', 'Sandro Cavazza']",75,AVĪCI (01),spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,0.662,0.858,2,-4.844,1,0.0428,0.00163,0.0,0.0456,0.295,133.993,audio_features,6Pgkp4qUoTmJIPn7ReaGxL,https://api.spotify.com/v1/tracks/6Pgkp4qUoTmJIPn7ReaGxL,https://api.spotify.com/v1/audio-analysis/6Pgkp4qUoTmJIPn7ReaGxL,181673,4
14sOS5L36385FJ3OL8hew4,Happy Now,"['Kygo', 'Sandro Cavazza']",64,Happy Now,spotify:track:14sOS5L36385FJ3OL8hew4,0.693,0.575,9,-6.998,1,0.0801,0.374,0.0,0.252,0.492,117.999,audio_features,14sOS5L36385FJ3OL8hew4,https://api.spotify.com/v1/tracks/14sOS5L36385FJ3OL8hew4,https://api.spotify.com/v1/audio-analysis/14sOS5L36385FJ3OL8hew4,211362,4
3ec1mgb7R6yhRvzp3DaTus,All For Love,"['Felix Jaehn', 'Sandro Cavazza']",58,All For Love,spotify:track:3ec1mgb7R6yhRvzp3DaTus,0.573,0.736,11,-6.882,1,0.0435,0.0616,0.0,0.508,0.185,126.014,audio_features,3ec1mgb7R6yhRvzp3DaTus,https://api.spotify.com/v1/tracks/3ec1mgb7R6yhRvzp3DaTus,https://api.spotify.com/v1/audio-analysis/3ec1mgb7R6yhRvzp3DaTus,166667,4
3o1CUVeHIid49sabk6A6Nf,Forever Yours - Avicii Tribute,"['Kygo', 'Avicii', 'Sandro Cavazza']",58,Forever Yours (Avicii Tribute),spotify:track:3o1CUVeHIid49sabk6A6Nf,0.529,0.612,10,-8.794,1,0.052,0.253,0.0,0.246,0.434,119.272,audio_features,3o1CUVeHIid49sabk6A6Nf,https://api.spotify.com/v1/tracks/3o1CUVeHIid49sabk6A6Nf,https://api.spotify.com/v1/audio-analysis/3o1CUVeHIid49sabk6A6Nf,193847,4
2n1lYSf8iDfSIYEBZJsS99,Beautiful Life,"['Lost Frequencies', 'Sandro Cavazza']",56,Less Is More,spotify:track:2n1lYSf8iDfSIYEBZJsS99,0.725,0.523,2,-6.494,0,0.0372,0.141,0.0339,0.162,0.326,120.006,audio_features,2n1lYSf8iDfSIYEBZJsS99,https://api.spotify.com/v1/tracks/2n1lYSf8iDfSIYEBZJsS99,https://api.spotify.com/v1/audio-analysis/2n1lYSf8iDfSIYEBZJsS99,161907,4
1jc8a5v2ewbx7jAj8nTfHs,Young Again,"['Don Diablo', 'Sandro Cavazza']",57,Young Again,spotify:track:1jc8a5v2ewbx7jAj8nTfHs,0.62,0.969,10,-3.484,1,0.0505,0.121,0.0,0.257,0.308,125.958,audio_features,1jc8a5v2ewbx7jAj8nTfHs,https://api.spotify.com/v1/tracks/1jc8a5v2ewbx7jAj8nTfHs,https://api.spotify.com/v1/audio-analysis/1jc8a5v2ewbx7jAj8nTfHs,196190,4
11lFSEnkj3810ojPLj53RO,Love To Lose,"['Sandro Cavazza', 'Georgia Ku']",53,Love To Lose,spotify:track:11lFSEnkj3810ojPLj53RO,0.601,0.741,0,-5.981,1,0.127,0.0467,0.0,0.244,0.71,195.943,audio_features,11lFSEnkj3810ojPLj53RO,https://api.spotify.com/v1/tracks/11lFSEnkj3810ojPLj53RO,https://api.spotify.com/v1/audio-analysis/11lFSEnkj3810ojPLj53RO,177731,4
43Hit5V2BpPq2vxvca3ysc,Lean On Me,['Sandro Cavazza'],51,Lean On Me,spotify:track:43Hit5V2BpPq2vxvca3ysc,0.799,0.419,6,-7.99,1,0.174,0.412,0.0,0.203,0.716,156.055,audio_features,43Hit5V2BpPq2vxvca3ysc,https://api.spotify.com/v1/tracks/43Hit5V2BpPq2vxvca3ysc,https://api.spotify.com/v1/audio-analysis/43Hit5V2BpPq2vxvca3ysc,182497,4
745bEQatiiXDtBe1AdQY2P,Beautiful,"['Kygo', 'Sandro Cavazza']",48,Golden Hour,spotify:track:745bEQatiiXDtBe1AdQY2P,0.614,0.709,11,-5.742,0,0.0428,0.0349,0.0,0.0904,0.269,123.843,audio_features,745bEQatiiXDtBe1AdQY2P,https://api.spotify.com/v1/tracks/745bEQatiiXDtBe1AdQY2P,https://api.spotify.com/v1/audio-analysis/745bEQatiiXDtBe1AdQY2P,217766,4
0v3sChvNXPe3vPBZv2voWT,Young Again - Acoustic Version,"['Don Diablo', 'Sandro Cavazza']",47,Young Again (Acoustic Version),spotify:track:0v3sChvNXPe3vPBZv2voWT,0.585,0.466,10,-8.216,1,0.0294,0.78,7.22e-06,0.135,0.363,121.959,audio_features,0v3sChvNXPe3vPBZv2voWT,https://api.spotify.com/v1/tracks/0v3sChvNXPe3vPBZv2voWT,https://api.spotify.com/v1/audio-analysis/0v3sChvNXPe3vPBZv2voWT,215282,4
